age,gender,platform,daily_hours,posts_per_week,followers,study_hours,exam_score,mental_health_rating
17,Male,Instagram,3.2,5,850,2.5,78,6
18,Female,TikTok,4.5,8,1200,2,72,5
16,Male,Facebook,2.1,3,600,3,81,7
19,Female,Instagram,5,10,2000,1.5,68,4
20,Male,Twitter,3.8,6,950,2.8,75,6
17,Female,Snapchat,4.2,7,1100,2.2,70,5
18,Male,YouTube,2.5,2,500,3.5,84,8
21,Female,Instagram,3.9,6,1500,2.7,77,6
19,Male,TikTok,5.5,11,2500,1.2,65,4
22,Female,Facebook,2.8,4,700,3.1,82,7
17,Male,Snapchat,3.5,5,900,2.4,76,6
18,Female,Instagram,4.8,9,1800,1.8,71,5
16,Female,TikTok,3.7,6,1400,2.3,74,6
20,Male,YouTube,2.9,3,650,3.2,85,8
21,Female,Twitter,3.3,5,1000,2.6,79,6
19,Male,Instagram,4.6,8,2100,1.9,69,5
22,Female,Snapchat,3,4,800,3,80,7
18,Male,Facebook,2.2,3,550,3.6,86,8
17,Female,Instagram,4.1,7,1300,2.1,73,5
19,Male,TikTok,5.2,10,2400,1.4,66,4
20,Female,YouTube,2.7,2,600,3.4,83,7
21,Male,Twitter,3.6,6,900,2.7,78,6
18,Female,Snapchat,4.4,8,1500,2,72,5
17,Male,Instagram,3.3,5,950,2.8,77,6
16,Female,Facebook,2,2,400,3.8,88,8
22,Male,TikTok,4.9,9,1900,1.7,70,5
20,Female,Instagram,3.8,6,1600,2.5,79,6
19,Male,YouTube,2.6,3,700,3.1,82,7
18,Female,Twitter,3.5,5,1100,2.6,75,6
17,Male,Snapchat,4.3,7,1200,2.2,74,5
21,Female,Facebook,2.9,4,650,3,81,7
22,Male,Instagram,4.7,8,2200,1.6,68,5
20,Female,TikTok,5.1,10,2600,1.3,67,4
19,Male,Twitter,3.4,5,1000,2.7,76,6
18,Female,YouTube,2.3,2,550,3.5,87,8
17,Male,Instagram,3.6,6,1050,2.4,75,6
16,Female,Snapchat,4,7,1350,2.1,73,5
21,Male,Facebook,2.7,3,620,3.2,83,7
22,Female,Instagram,4.2,7,1750,2.3,78,6
20,Male,TikTok,5.3,11,2800,1.2,64,4
19,Female,Twitter,3.1,4,900,2.9,80,7
18,Male,YouTube,2.4,2,500,3.6,89,8
17,Female,Instagram,4.5,9,1600,1.9,71,5
16,Male,Snapchat,3.8,6,1150,2.5,76,6
21,Female,Facebook,2.6,3,580,3.3,84,7
22,Male,Instagram,4.9,8,2100,1.7,69,5
20,Female,TikTok,5.4,12,3000,1.1,63,4
19,Male,Twitter,3.7,6,950,2.6,77,6
18,Female,YouTube,2.5,2,600,3.4,86,8
17,Male,Instagram,3.4,5,980,2.7,78,6
16,Female,Snapchat,4.2,7,1400,2,72,5
21,Male,Facebook,2.8,4,700,3.1,82,7
22,Female,Instagram,4.3,7,1650,2.4,79,6
20,Male,TikTok,5.6,11,2900,1.2,65,4
19,Female,Twitter,3.2,5,920,2.8,81,7
18,Male,YouTube,2.6,2,520,3.5,88,8
17,Female,Instagram,4.6,9,1700,1.8,70,5
16,Male,Snapchat,3.9,6,1200,2.3,75,6
21,Female,Facebook,2.7,3,600,3.2,83,7
22,Male,Instagram,4.8,8,2000,1.6,68,5
20,Female,TikTok,5.2,10,2700,1.3,66,4
19,Male,Twitter,3.5,5,980,2.7,79,6
18,Female,YouTube,2.4,2,540,3.6,87,8
17,Male,Instagram,3.7,6,1020,2.5,77,6
16,Female,Snapchat,4.1,7,1380,2.1,74,5
21,Male,Facebook,2.9,4,710,3,82,7
22,Female,Instagram,4.4,7,1680,2.3,78,6
20,Male,TikTok,5.5,11,2850,1.2,64,4
19,Female,Twitter,3.3,5,940,2.9,80,7
18,Male,YouTube,2.5,2,530,3.5,89,8
17,Female,Instagram,4.7,9,1750,1.7,69,5
16,Male,Snapchat,3.8,6,1180,2.4,76,6
21,Female,Facebook,2.6,3,590,3.3,84,7
22,Male,Instagram,4.9,8,2050,1.5,67,5
20,Female,TikTok,5.3,10,2750,1.3,65,4
19,Male,Twitter,3.6,6,970,2.6,78,6
18,Female,YouTube,2.3,2,510,3.7,90,8
17,Male,Instagram,3.5,5,1000,2.6,79,6
16,Female,Snapchat,4,7,1350,2.2,73,5
21,Male,Facebook,2.8,4,720,3.1,83,7
22,Female,Instagram,4.2,7,1600,2.4,78,6
20,Male,TikTok,5.4,11,2950,1.2,64,4
19,Female,Twitter,3.4,5,960,2.8,80,7
18,Male,YouTube,2.6,2,550,3.5,88,8
17,Female,Instagram,4.8,9,1800,1.7,70,5
16,Male,Snapchat,3.9,6,1250,2.3,75,6
21,Female,Facebook,2.7,3,610,3.2,84,7
22,Male,Instagram,4.7,8,1980,1.6,68,5
20,Female,TikTok,5.2,10,2650,1.3,66,4
19,Male,Twitter,3.5,5,980,2.7,79,6
18,Female,YouTube,2.4,2,520,3.6,87,8
